Date,PE Ratio
4/1/2023,62.76
3/1/2023,60.91
30/12/2022,62.19
29/12/2022,62.14
28/12/2022,59.73
27/12/2022,60.09
23/12/2022,64.71
22/12/2022,65.27
21/12/2022,70.22
20/12/2022,68.45
19/12/2022,69.17
16/12/2022,70.51
15/12/2022,72.14
14/12/2022,75.21
13/12/2022,76.9
12/12/2022,74.62
9/12/2022,72.34
8/12/2022,73.06
7/12/2022,68.6
6/12/2022,68.03
5/12/2022,70.68
2/12/2022,71.81
1/12/2022,72.91
30/11/2022,72.01
29/11/2022,66.55
28/11/2022,67.35
25/11/2022,69.23
23/11/2022,70.29
22/11/2022,68.25
21/11/2022,65.18
18/11/2022,65.57
17/11/2022,66.71
16/11/2022,67.7
15/11/2022,70.92
14/11/2022,69.34
11/11/2022,69.48
10/11/2022,67.02
9/11/2022,58.62
8/11/2022,62.14
7/11/2022,60.86
4/11/2022,60.24
3/11/2022,57.11
2/11/2022,56.25
1/11/2022,57.63
31/10/2022,57.43
28/10/2022,45.36
27/10/2022,43.2
26/10/2022,42.28
25/10/2022,43.48
24/10/2022,41.31
21/10/2022,40.87
20/10/2022,39.98
19/10/2022,39.51
18/10/2022,39.24
17/10/2022,38.98
14/10/2022,36.81
13/10/2022,39.21
12/10/2022,37.7
11/10/2022,37.99
10/10/2022,38.26
7/10/2022,39.59
6/10/2022,43.05
5/10/2022,43.31
4/10/2022,43.17
3/10/2022,41.02
30/9/2022,39.8
29/9/2022,40.07
28/9/2022,41.76
27/9/2022,40.7
26/9/2022,40.09
23/9/2022,41.04
22/9/2022,41.18
21/9/2022,43.48
20/9/2022,43.2
19/9/2022,43.88
16/9/2022,43.27
15/9/2022,42.39
14/9/2022,43.04
13/9/2022,43.05
12/9/2022,47.56
9/9/2022,47.17
8/9/2022,45.87
7/9/2022,44.96
6/9/2022,44.15
2/9/2022,44.74
1/9/2022,45.7
31/8/2022,49.49
30/8/2022,50.71
29/8/2022,51.81
26/8/2022,53.31
25/8/2022,58.73
24/8/2022,56.47
23/8/2022,56.33
22/8/2022,55.85
19/8/2022,58.52
18/8/2022,61.55
17/8/2022,60.11
16/8/2022,61.9
15/8/2022,62.4
12/8/2022,61.34
11/8/2022,58.83
10/8/2022,59.33
9/8/2022,56.02
8/8/2022,58.34
5/8/2022,62.26
4/8/2022,63
3/8/2022,61.94
2/8/2022,60.74
1/8/2022,60.46
31/7/2022,59.55
29/7/2022,48.69
28/7/2022,48.21
27/7/2022,47.69
26/7/2022,44.32
25/7/2022,45.64
22/7/2022,46.43
21/7/2022,48.39
20/7/2022,47.74
19/7/2022,45.56
18/7/2022,43.17
15/7/2022,42.26
14/7/2022,41.21
13/7/2022,40.65
12/7/2022,40.43
11/7/2022,40.62
8/7/2022,42.46
7/7/2022,42.51
6/7/2022,40.56
5/7/2022,40.12
1/7/2022,38.94
30/6/2022,40.64
29/6/2022,41.67
28/6/2022,42.85
27/6/2022,45.23
24/6/2022,45.91
23/6/2022,43.5
22/6/2022,43.86
21/6/2022,44.41
17/6/2022,42.57
16/6/2022,41.83
15/6/2022,44.31
14/6/2022,42.46
13/6/2022,41.95
10/6/2022,45.51
9/6/2022,48.39
8/6/2022,49.99
7/6/2022,50.74
6/6/2022,50.36
3/6/2022,50.19
2/6/2022,52.53
1/6/2022,49.12
31/5/2022,50.06
27/5/2022,50.43
26/5/2022,47.86
25/5/2022,45.51
24/5/2022,43.31
23/5/2022,45.3
20/5/2022,44.76
19/5/2022,45.91
18/5/2022,45.41
17/5/2022,48.73
16/5/2022,46.28
13/5/2022,47.47
12/5/2022,43.36
11/5/2022,44.58
10/5/2022,47.17
9/5/2022,45.44
6/5/2022,50.07
5/5/2022,50.52
4/5/2022,54.51
3/5/2022,52.55
2/5/2022,52.37
30/4/2022,49.72
29/4/2022,48.17
28/4/2022,51.38
27/4/2022,47.83
26/4/2022,48.8
25/4/2022,51.69
22/4/2022,50.69
21/4/2022,52.42
20/4/2022,55.8
19/4/2022,57.66
18/4/2022,56.58
14/4/2022,55.22
13/4/2022,57.67
12/4/2022,55.85
11/4/2022,56.93
8/4/2022,60.05
7/4/2022,62.88
6/4/2022,63.39
5/4/2022,67.35
4/4/2022,71.06
1/4/2022,69.38
31/3/2022,70.87
30/3/2022,71.92
29/3/2022,74.43
28/3/2022,73.3
25/3/2022,71.93
24/3/2022,73.12
23/3/2022,66.58
22/3/2022,68.89
21/3/2022,69.44
18/3/2022,68.71
17/3/2022,64.33
16/3/2022,63.63
15/3/2022,59.67
14/3/2022,55.4
11/3/2022,57.4
10/3/2022,58.85
9/3/2022,59.78
8/3/2022,55.88
7/3/2022,55.46
4/3/2022,59.57
3/3/2022,61.59
2/3/2022,62.91
1/3/2022,60.98
28/2/2022,63.34
25/2/2022,62.75
24/2/2022,61.68
23/2/2022,58.15
22/2/2022,60.75
18/2/2022,61.41
17/2/2022,63.65
16/2/2022,68.86
15/2/2022,68.82
14/2/2022,63.03
11/2/2022,62.21
10/2/2022,67.08
9/2/2022,69.36
8/2/2022,65.22
7/2/2022,64.23
4/2/2022,63.17
3/2/2022,62.2
2/2/2022,65.56
1/2/2022,63.99
31/1/2022,63.6
28/1/2022,70.33
27/1/2022,67.57
26/1/2022,70.12
25/1/2022,68.74
24/1/2022,71.97
21/1/2022,71.98
20/1/2022,74.36
19/1/2022,77.19
18/1/2022,79.76
14/1/2022,82.96
13/1/2022,81.83
12/1/2022,86.22
11/1/2022,85.66
10/1/2022,84.37
7/1/2022,83.9
6/1/2022,86.77
5/1/2022,85
4/1/2022,90.19
3/1/2022,92.75
31/12/2021,90.57
30/12/2021,91.1
29/12/2021,92.38
28/12/2021,93.37
27/12/2021,95.29
23/12/2021,91.27
22/12/2021,90.53
21/12/2021,89.53
20/12/2021,85.35
17/12/2021,85.61
16/12/2021,87.41
15/12/2021,93.79
14/12/2021,87.26
13/12/2021,86.72
10/12/2021,92.99
9/12/2021,93.89
8/12/2021,98
7/12/2021,99.85
6/12/2021,92.49
3/12/2021,94.51
2/12/2021,98.93
1/12/2021,96.8
30/11/2021,100.62
29/11/2021,102.77
26/11/2021,97.01
24/11/2021,100.61
23/11/2021,97.76
22/11/2021,98.4
19/11/2021,101.57
18/11/2021,97.54
17/11/2021,90.1
16/11/2021,93
15/11/2021,92.46
12/11/2021,93.58
11/11/2021,93.58
10/11/2021,90.71
9/11/2021,94.4
8/11/2021,94.85
5/11/2021,91.62
4/11/2021,91.77
3/11/2021,81.9
2/11/2021,81.3
1/11/2021,79.53
31/10/2021,78.73
29/10/2021,91.07
28/10/2021,88.84
27/10/2021,87.09
26/10/2021,88.04
25/10/2021,82.51
22/10/2021,80.95
21/10/2021,80.83
20/10/2021,78.73
19/10/2021,79.39
18/10/2021,79.15
15/10/2021,77.87
14/10/2021,77.46
13/10/2021,74.58
12/10/2021,73.63
11/10/2021,73.71
8/10/2021,74.2
7/10/2021,75.07
6/10/2021,73.73
5/10/2021,72.84
4/10/2021,70.28
1/10/2021,73.88
30/9/2021,73.79
29/9/2021,73.08
28/9/2021,73.73
27/9/2021,77.15
24/9/2021,78.65
23/9/2021,80.08
22/9/2021,78.15
21/9/2021,75.68
20/9/2021,75.2
17/9/2021,78.01
16/9/2021,79.22
15/9/2021,79.58
14/9/2021,79.22
13/9/2021,78.9
10/9/2021,80.06
9/9/2021,78.99
8/9/2021,79.57
7/9/2021,80.72
3/9/2021,81.36
2/9/2021,79.77
1/9/2021,79.93
31/8/2021,79.73
30/8/2021,80.81
27/8/2021,80.63
26/8/2021,78.6
25/8/2021,79.12
24/8/2021,77.62
23/8/2021,78.21
20/8/2021,74.14
19/8/2021,70.52
18/8/2021,67.82
17/8/2021,69.31
16/8/2021,71.06
13/8/2021,71.91
12/8/2021,70.9
11/8/2021,70.17
10/8/2021,71.01
9/8/2021,72.29
6/8/2021,72.54
5/8/2021,73.51
4/8/2021,72.21
3/8/2021,70.58
2/8/2021,70.35
31/7/2021,69.45
30/7/2021,92.08
29/7/2021,92.85
28/7/2021,92.1
27/7/2021,90.71
26/7/2021,91.12
23/7/2021,92.36
22/7/2021,92.53
21/7/2021,91.66
20/7/2021,87.9
19/7/2021,88.69
16/7/2021,85.77
15/7/2021,89.57
14/7/2021,93.7
13/7/2021,95.63
12/7/2021,96.87
9/7/2021,94.69
8/7/2021,93.99
7/7/2021,96.21
6/7/2021,97.75
2/7/2021,96.75
1/7/2021,95.45
30/6/2021,94.46
29/6/2021,94.58
28/6/2021,94.38
25/6/2021,89.87
24/6/2021,90.7
23/6/2021,90
22/6/2021,89.19
21/6/2021,87.02
18/6/2021,88.02
17/6/2021,88.11
16/6/2021,84.11
15/6/2021,84.01
14/6/2021,85.09
11/6/2021,84.18
10/6/2021,82.29
9/6/2021,81.98
8/6/2021,82.44
7/6/2021,83.21
4/6/2021,83.01
3/6/2021,80.14
2/6/2021,79.24
1/6/2021,76.81
28/5/2021,76.72
27/5/2021,73.14
26/5/2021,74.14
25/5/2021,73.9
24/5/2021,73.73
21/5/2021,70.8
20/5/2021,69.01
19/5/2021,66.43
18/5/2021,66.19
17/5/2021,66.9
14/5/2021,67.26
13/5/2021,64.53
12/5/2021,64.98
11/5/2021,67.56
10/5/2021,67.37
7/5/2021,69.95
6/5/2021,68.59
5/5/2021,68.28
4/5/2021,67.77
3/5/2021,70.07
30/4/2021,70.88
29/4/2021,88.84
28/4/2021,88.56
27/4/2021,89.17
26/4/2021,89.73
23/4/2021,88.49
22/4/2021,86.09
21/4/2021,89.05
20/4/2021,87.95
19/4/2021,89.05
16/4/2021,92.25
15/4/2021,93.55
14/4/2021,88.56
13/4/2021,90.9
12/4/2021,88.17
9/4/2021,83.48
8/4/2021,83
7/4/2021,81.99
6/4/2021,80.36
5/4/2021,81.09
1/4/2021,80.07
31/3/2021,77.38
30/3/2021,74.62
29/3/2021,75.06
26/3/2021,74.43
25/3/2021,72.67
24/3/2021,73.29
23/3/2021,75.77
22/3/2021,76.44
19/3/2021,74.47
18/3/2021,73.75
17/3/2021,77.34
16/3/2021,77.05
15/3/2021,76.47
12/3/2021,74.53
11/3/2021,75.32
10/3/2021,72.28
9/3/2021,72.58
8/3/2021,67.21
5/3/2021,72.24
4/3/2021,71.71
3/3/2021,74.23
2/3/2021,77.72
1/3/2021,80.24
26/2/2021,79.5
25/2/2021,77.14
24/2/2021,84.05
23/2/2021,81.98
22/2/2021,83.22
19/2/2021,86.53
18/2/2021,85.97
17/2/2021,86.41
16/2/2021,88.87
12/2/2021,86.73
11/2/2021,88.41
10/2/2021,85.59
9/2/2021,82.69
8/2/2021,83.7
5/2/2021,78.79
4/2/2021,79.21
3/2/2021,78.44
2/2/2021,78.59
1/2/2021,76.74
31/1/2021,75.3
29/1/2021,84.9
28/1/2021,85.3
27/1/2021,84.43
26/1/2021,87.81
25/1/2021,89.24
22/1/2021,89.62
21/1/2021,90.64
20/1/2021,87.36
19/1/2021,85.13
15/1/2021,84.05
14/1/2021,86.28
13/1/2021,88.44
12/1/2021,88.14
11/1/2021,89.03
8/1/2021,86.78
7/1/2021,87.22
6/1/2021,82.45
5/1/2021,87.61
4/1/2021,85.71
31/12/2020,85.33
30/12/2020,85.92
29/12/2020,84.6
28/12/2020,84.31
24/12/2020,84.93
23/12/2020,85.03
22/12/2020,86.79
21/12/2020,87.14
18/12/2020,86.75
17/12/2020,87.2
16/12/2020,86.55
15/12/2020,87.32
14/12/2020,86.99
11/12/2020,85.05
10/12/2020,84.79
9/12/2020,84.51
8/12/2020,87.25
7/12/2020,88.93
4/12/2020,88.62
3/12/2020,87.56
2/12/2020,88.53
1/12/2020,87.52
30/11/2020,87.59
27/11/2020,86.67
25/11/2020,86.5
24/11/2020,84.69
23/11/2020,85.88
20/11/2020,85.54
19/11/2020,87.84
18/11/2020,87.77
17/11/2020,87.73
16/11/2020,88.34
13/11/2020,86.91
12/11/2020,87.95
11/11/2020,87.7
10/11/2020,83.46
9/11/2020,89.09
6/11/2020,95.18
5/11/2020,92.55
4/11/2020,90.16
3/11/2020,85.09
2/11/2020,82.23
31/10/2020,81.92
30/10/2020,91.99
29/10/2020,95.59
28/10/2020,92.68
27/10/2020,98.32
26/10/2020,96.45
23/10/2020,99.74
22/10/2020,98.06
21/10/2020,99.26
20/10/2020,100.15
19/10/2020,99.07
16/10/2020,101.37
15/10/2020,102.53
14/10/2020,103.45
13/10/2020,104.57
12/10/2020,104.41
9/10/2020,101.01
8/10/2020,101.57
7/10/2020,102.49
6/10/2020,100.82
5/10/2020,100.13
2/10/2020,95.87
1/10/2020,99.92
30/9/2020,99.31
29/9/2020,97.07
28/9/2020,95.67
25/9/2020,94.49
24/9/2020,90.63
23/9/2020,88.98
22/9/2020,92.75
21/9/2020,91.87
18/9/2020,89.46
17/9/2020,91.48
16/9/2020,91.85
15/9/2020,95.35
14/9/2020,94.48
11/9/2020,89.28
10/9/2020,90.36
9/9/2020,93.32
8/9/2020,87.43
4/9/2020,92.64
3/9/2020,95.53
2/9/2020,105.3
1/9/2020,101.44
31/8/2020,98.16
28/8/2020,96.5
27/8/2020,92.68
26/8/2020,93.75
25/8/2020,93.58
24/8/2020,93.36
21/8/2020,93.09
20/8/2020,89.11
19/8/2020,89.09
18/8/2020,89.99
17/8/2020,90.55
14/8/2020,84.87
13/8/2020,83.99
12/8/2020,83.97
11/8/2020,79.63
10/8/2020,81.94
7/8/2020,82.2
6/8/2020,83.2
5/8/2020,82.84
4/8/2020,82.41
3/8/2020,80.81
31/7/2020,77.91
30/7/2020,79.36
29/7/2020,78.25
28/7/2020,76.38
27/7/2020,77.92
24/7/2020,76.22
23/7/2020,75.74
22/7/2020,78.05
21/7/2020,77.22
20/7/2020,78.58
17/7/2020,76.27
16/7/2020,75.77
15/7/2020,76.47
14/7/2020,77.58
13/7/2020,75.16
10/7/2020,78.35
9/7/2020,78.57
8/7/2020,76.38
7/7/2020,73.81
6/7/2020,73.56
2/7/2020,71.87
1/7/2020,71.25
30/6/2020,71.01
29/6/2020,68.78
26/6/2020,68.45
25/6/2020,70.95
24/6/2020,69.05
23/6/2020,70.65
22/6/2020,71.23
19/6/2020,69.24
18/6/2020,68.92
17/6/2020,69.05
16/6/2020,67.8
15/6/2020,68.59
12/6/2020,66.78
11/6/2020,65.77
10/6/2020,70.03
9/6/2020,67.63
8/6/2020,65.83
5/6/2020,66.69
4/6/2020,65.54
3/6/2020,65.57
2/6/2020,65.98
1/6/2020,65.84
29/5/2020,66.36
28/5/2020,63.45
27/5/2020,63.74
26/5/2020,65.18
22/5/2020,67.49
21/5/2020,65.61
20/5/2020,67.07
19/5/2020,65.84
18/5/2020,65.42
15/5/2020,63.48
14/5/2020,60.04
13/5/2020,58.17
12/5/2020,58.34
